rating,review_text,steming_data,has_complaint_term
4,kurang lah ...muter'' terus...setiap dibuka pasti dialihkan untuk install lagi..gitu terus...tolonglah diperbaiki sistemnya..,muter terussetiap buka alih install lagigitu terustolonglah baik sistem,True
5,"aplikasinya bagus tapi kalau dipake bersamaan loding, sekalinya bisa kebuka langsung lancar",aplikasi bagus pakai sama loding sekali buka langsung lancar,True
5,"dibuat geregetan sama aplikasi ini, sangat menyita waktu eror terus loading lama..",gereget aplikasi sita eror loading,True
5,semoga tidak sering error dengan versi terbari ini sehingga memudahkan kader dalam mendata,moga error versi bari mudah kader data,True
5,kenapa sih muter aj.. pusing padahal paket pul...,sih muter pusing paket pul,True
4,kenapa selalu error kalo di HP samsung min??? bantu respon,error hp samsung min bantu respon,True
4,"menghambat karir, update update trs",hambat karir update update,True
4,aplikasi ini sebenernya sudah bisa dipakai tpi sayang sekali setelah sistem update malah gak bisa kebuka dan masih loading terus.. tolong servernya diperbaiki dong min,aplikasi pakai sayang sistem update buka loading tolong servernya baik min,True
5,kenapa aplikasi nya tdk bisa di buka,aplikasi ya buka,True
5,aku sekarang belum bisa kebuka,buka,True
5,"belum sempurna ,masih diarahkan ke playstore ,data belum bisa masuk",sempurna arah playstore data masuk,True
5,sudah diperbarui tapi di bisa di buka padahal sudah versi terbaru,baru buka versi baru,True
4,masih selalu di arahkan ke play store padahal sudah update.,arah play store update,True
5,"setelah di update maka aplikasi ini lebih lancar ,lebih cepat untuk simpan datanya . ... semoga lancar selalu",update aplikasi lancar cepat simpan data moga lancar,True
5,kenapa ini muter terus,muter,True
5,aplikasi selalu update,aplikasi update,True
4,"setelah di uninstall lalu di install lagi mesti di hapus dulu cache nya baru bisa login dengan baik. dari batang kabung ganting, kota padang",uninstall install mesti hapus cache ya login batang kabung ganting kota padang,True
5,wahhh sangat sangat ketar ketir...di jatah wkt 1 bulan aplikasi nya muter2 kdg eror🤭🤭😀,ketar ketirdi jatah aplikasi ya muter kadang eror,True
4,tidak bisa dibuka aplikasinya,buka aplikasi,True
5,mau masuk nya susah aplikasi ini di arahkan ke playstor terus saat masuk,masuk ya susah aplikasi arah playstor masuk,True
5,Masih ada beberapa hp yg belum bisa masuk ke Siga,hp masuk siga,True
4,aplikasinya agak susah kurang lancar koneksi updatenya,aplikasi susah lancar koneksi updatenya,True
4,belum sempurna tiap X buka aplikasi nya tiap X di suruh pembaruan aplikasinya,sempurna kali buka aplikasi ya kali suruh baru aplikasi,True
4,"susah log in,selalu di arahkan ke PlayStore",susah log inselalu arah playstore,True
5,sangat bagus tapi susah diupdate,bagus susah diupdate,True
5,aplikasi verval masih belum sempurna untuk di gunakan masih eror,aplikasi verval sempurna eror,True
5,"aneh di sini versi 4.0.2 dah di dwonload tetep versi 4.0.0,,,",aneh versi dwonload versi,True
4,muter trus tolong,muter tolong,True
5,kenapa tidak bisa kebuka aplikasi ini stelah kita install,buka aplikasi install,True
5,Muter terus aplikasinya,muter aplikasi,True
5,muter terus,muter,True
4,aplikasi sulit untuk diunduh,aplikasi sulit unduh,True
5,susah,susah,True
4,"masih sering error,,",error,True
5,vivo y 16 menyala HP ku ga biasa masuk apk?,vivo ya nyala hp ku masuk apk,True
5,"udah mencoba login tpi disuruh update terus, terserahlah kesabaran ku sudah habis",coba login suruh update serah sabar ku habis,True
5,susah masuk,susah masuk,True
5,Aplikasi sudah di update semoga tidak eror terus,aplikasi update moga eror,True
5,"aplikasi nya lumayan buat di hp saya, no lemot. loading nya cpt",aplikasi ya lumayan hp no lot loading ya cepat,True
4,"selalu diarahkan ke PlayStore, pdhl udh update ke versi terbaru.... menghambat pekerjaan ini namanyaaaaaaa",arah playstore update versi baru hambat kerja namanyaaaaaaa,True
5,pada waktu pendataan sering susah sinyal,data susah sinyal,True
4,kadang masih suka susah untuk simpan data,kadang suka susah simpan data,True
4,dari awal dipakai sama kader kadang bisa kadang eror kebanyakan erornya sehingga banyak kader yg mengeluh sedangkan dateline td beribah,pakai kader kadang kadang eror banyak eror kader keluh dateline beribah,True
5,kadang data yg mau dimasukan liading,kadang data masuk liading,True
4,setiap buka selalu di arah kan ke playstor..,buka arah playstor,True
4,"punya saya enggak bisa login, muter2 aj. bolak balik suruh ke playstore gitu terus. gimana mau beres ngedata verval klo gitu terus. tolong diperbaiki lagi!",login muter bolak suruh playstore beres ngedata verval tolong baik,True
4,"setiap membuka siga mobile,selalu dan selalu kembali ke play store untuk update, walaupun udah di update berkali-kali,tetap saja di arakan untuk ke play store",buka siga mobileselalu play store update update berkalikalitetap ara play store,True
